xu,yu,xd,yd,xu_div_r0,yu_div_r0,yd_div_r0,xd_div_r0,xd_div_xu,yd_div_yu,sqr_r
-2,0,104.0,30.5,-0.031746031746031744,0.0,0.0,-0.10317460317460317,3.25,,0.010644998740236835
4,0,120.5,30.5,0.06349206349206349,0.0,0.0,0.15873015873015872,2.5,,0.025195263290501382
-2,-6,106.0,18.5,-0.031746031746031744,-0.09523809523809523,-0.19047619047619047,-0.07142857142857142,2.25,2.0,0.04138321995464852
4,-6,118.7,18.6,0.06349206349206349,-0.09523809523809523,-0.18888888888888886,0.1301587301587302,2.0500000000000007,1.9833333333333332,0.05262030738221214
-8,0,95.5,30.5,-0.12698412698412698,0.0,0.0,-0.23809523809523808,1.875,,0.056689342403628114
-8,-6,96.5,20.0,-0.12698412698412698,-0.09523809523809523,-0.16666666666666666,-0.2222222222222222,1.75,1.75,0.07716049382716049
10,0,127.5,30.5,0.15873015873015872,0.0,0.0,0.2698412698412698,1.7,,0.072814310909549
10,-6,127.0,20.5,0.15873015873015872,-0.09523809523809523,-0.15873015873015872,0.2619047619047619,1.6500000000000001,1.6666666666666667,0.09378936759889141
-2,-12,106.5,11.5,-0.031746031746031744,-0.19047619047619047,-0.30158730158730157,-0.06349206349206349,2.0,1.5833333333333333,0.09498614260519021
4,-12,117.5,11.5,0.06349206349206349,-0.19047619047619047,-0.30158730158730157,0.1111111111111111,1.75,1.5833333333333333,0.10330057949105567
-14,0,89.5,30.5,-0.2222222222222222,0.0,0.0,-0.3333333333333333,1.5,,0.1111111111111111
-8,-12,98.0,12.5,-0.12698412698412698,-0.19047619047619047,-0.2857142857142857,-0.1984126984126984,1.5625,1.5,0.12100025195263289
-14,-6,89.5,21.5,-0.2222222222222222,-0.09523809523809523,-0.14285714285714285,-0.3333333333333333,1.5,1.5,0.13151927437641722
10,-12,125.3,12.5,0.15873015873015872,-0.19047619047619047,-0.2857142857142857,0.23492063492063486,1.4799999999999998,1.5,0.13682035777273868
16,0,133.5,30.5,0.25396825396825395,0.0,0.0,0.36507936507936506,1.4375,,0.13328294280675232
16,-6,133.5,21.5,0.25396825396825395,-0.09523809523809523,-0.14285714285714285,0.36507936507936506,1.4375,1.5,0.15369110607205844
-2,-18,107.0,5.5,-0.031746031746031744,-0.2857142857142857,-0.3968253968253968,-0.05555555555555555,1.75,1.3888888888888888,0.16055681531872007
-14,-12,91.0,13.5,-0.2222222222222222,-0.19047619047619047,-0.2698412698412698,-0.30952380952380953,1.392857142857143,1.4166666666666667,0.16861929957168054
4,-18,116.5,5.5,0.06349206349206349,-0.2857142857142857,-0.3968253968253968,0.09523809523809523,1.5,1.3888888888888888,0.16654069035021413
-8,-18,99.3,5.7,-0.12698412698412698,-0.2857142857142857,-0.39365079365079364,-0.1777777777777778,1.4000000000000004,1.3777777777777778,0.18656588561350468
-20,0,83.5,30.5,-0.31746031746031744,0.0,0.0,-0.42857142857142855,1.35,,0.18367346938775508
16,-12,132.0,14.0,0.25396825396825395,-0.19047619047619047,-0.2619047619047619,0.3412698412698413,1.34375,1.3750000000000002,0.18505920886873267
